name,address,rate_num,reviews_count,category,about
The Marble Mountains,"Hoa Hai, Ngu Hanh Son, Da Nang 550000 Vietnam",4.0,"7,892 reviews",Mountains • Points of Interest & Landmarks • Geologic Formations,"Discover the tunnels and grottoes within Thuy Son, the only one of the five Marble Mountains that’s open to travelers. Marvel at the Buddhist temples carved into the rock, then head to the hilltop overlook for awe-inspiring views of the city. Join a guided tour to learn more about the history of the mountains. 

To reach the summit, take the elevator or climb the stairs; if you choose to do the latter, be very careful as the marble steps tend to be slippery. Visit early in the morning or later in the day to escape the midday heat and beat the crowds. 

– Tripadvisor"
Lady Buddha,,4.5,"4,464 reviews",Points of Interest & Landmarks,
Dragon Bridge,"Nguyen Van Linh Phuoc Ninh, Son Tra, Da Nang 550000 Vietnam",4.0,"5,836 reviews",Points of Interest & Landmarks • Bridges,"This 2,185-foot-long bridge shaped like an undulating golden dragon is the most famous bridge over the Han River in downtown Danang. On weekend nights, the dragon comes to life in quite an unusual way: the bridge is closed to traffic, and the massive dragon head on the east end of the bridge releases bursts of flames and water in a spectacular night show.

Prepare to get wet if you stand on the bridge near the head. Otherwise, you can view the spectacle from the river bank along Tran Hung Dao Street or many of the nearby rooftop bars. The bridge is usually a stop on a night tour of Da Nang. 

– Tripadvisor"
Ba Na Hills,,4.0,"6,369 reviews",Amusement & Theme Parks,"This theme park is a popular day trip from the coastal city of Da Nang, about a 45-minute drive. Start with a fantastic cable car ride, catching a brilliant sunset if you arrive here late afternoon. Once you’ve made your ascent, cross the Golden Bridge, held aloft by a giant pair of hands. There are many other attractions here—don’t miss the Linh Ung Pagoda and the giant Buddha statue. 

Check the weather forecast before booking your tickets, as even if conditions are relatively mild in Da Nang, it can be wet, windy, and foggy at the top in the colder months. 

– Tripadvisor"
Non Nuoc Beach,,4.5,"1,204 reviews",Beaches,
Son Tra Mountain,,4.5,816 reviews,Mountains,
My Khe Beach,,4.5,"2,620 reviews",Beaches,
Linh Ung Pagoda,"Bai But, Da Nang 550000 Vietnam",4.5,519 reviews,Points of Interest & Landmarks,
Da Nang Museum of Cham Sculpture,"No 2, 2 Thang 9 Street Hái Châu District, Da Nang 550000 Vietnam",4.0,"1,515 reviews",Speciality Museums,"The Da Nang Museum of Cham Sculpture is one of the first museums built in Vietnam by the French. The main building was constructed in 1915. It evokes some motifs of French colonial architecture in the early twentieth century and resembles the image of the Champa temples - towers in Central Viet Nam. 

Visitors will have the opportunity to contemplate more than 400 artifacts on display, including National Treasures and others representing the masterpieces of Champa sculpture in ten centuries (from 5th to 15th). The artifacts were made in a variety of materials, such as sandstone, terracotta, and metal. Grounded in various themes from fertility symbols, deities, mythical animals and architectural decoration from the Hindu and Buddhist, they express the features of cultural and religious values of the Champa people over many generations. 

The Da Nang Museum of Cham Sculpture is a must-see destination for visitors wishing to discover the culture and heritage of Central Viet Nam."
Ba Na Cable Car,,4.5,169 reviews,Trams,
3D Museum Art in Paradise Danang,"Lot C2-10 Tran Nhan Tong Tho Quang, Son Tra, Da Nang 550000 Vietnam",4.5,312 reviews,Art Museums,"Art in Paradise Danang is the first 3D Trick Art Museum in Danang and the largest one in Viet Nam. Come to the museum, you will be suprised by hundreds of 3D art works. They were all drawn and painted by hand that used three-dimensional and scientific method combinations to make the paintings look realistic and live, and you can be part of them. It's not just an art, but a paradise. You will have a lot of happy memories with your family and friends here. Love!"
Asia Park,"01 Phan Dang Luu Hai Chau, Da Nang 550000 Vietnam",4.0,736 reviews,Amusement & Theme Parks,Welcome to Amusement Park of international scale and standards to explore various types of fascinating Rides and Attractions themed distinctively around several Asian Countries. Sun World Da Nang Wonders provides a fun and new experience to all visitors.
Han River Bridge,,4.0,744 reviews,Bridges,
Golden Bridge,,4.0,720 reviews,Points of Interest & Landmarks • Bridges,"This striking bridge is one of the most photographed spots in Da Nang, located within Ba Na Hills. This 500-foot-long golden bridge appears to be cradled by two gigantic hands amidst the clouds. Get there early in the morning to snap a shot on the bridge without the crowds. It connects the hilltop cable car station to the stunning Paradise Gardens, and you can enjoy breathtaking views of the East Sea and the Annamite Mountains as you cross.

Check out the bridge on a guided tour of Ba Na Hills from Da Nang or Hoi An—it usually includes the cable car ride, the French Village, and Fantasy Park as well. 

– Tripadvisor"
Hoa Nghiem Cave,"Marble Mountains Huyen Tran Cong Chua Street, Da Nang 59000 Vietnam",4.5,116 reviews,Caverns & Caves,
Phap Lam Pagoda,,4.5,77 reviews,Religious Sites,
Con Market,,3.5,317 reviews,Flea & Street Markets,
Da Nang Catheral,,3.5,860 reviews,Churches & Cathedrals,
Sun Wheel,,4.0,140 reviews,Observation Decks & Towers,
Ban Co Peak,,4.5,23 reviews,Lookouts,
